Time,Objective,Best Bound
8.06,1e+100,0.0
72.66,1204.0,0.0
172.2,1203.0,0.0
233.69,1141.0,0.0
292.49,974.0,0.0
292.62,945.0,0.0
374.48,941.0,0.0
374.61,848.0,0.0
374.72,825.0,0.0
547.07,742.0,0.0
547.17,734.0,0.0
547.31,715.0,0.0
547.38,708.0,0.0
547.48,691.0,0.0
1241.73,691.0,0.01
1266.7,691.0,0.02
1349.13,691.0,5.5
1355.75,691.0,6.28
1408.87,691.0,11.74
1456.94,691.0,18.05
1515.25,689.0,20.24
1581.75,689.0,20.26
1622.21,689.0,20.36
1748.54,689.0,20.42
1807.94,688.0,20.42
1813.89,688.0,20.45
1875.99,687.0,20.47
1939.51,684.0,20.49
2046.63,684.0,20.5
2086.04,684.0,20.57
2093.74,684.0,20.76
2102.2,683.0,20.76
2159.6,679.0,20.78
2174.59,666.0,20.78
2225.57,666.0,23.08
2280.8,666.0,24.17
2288.37,666.0,24.75
2324.19,666.0,25.0
2333.92,666.0,25.09
2379.25,666.0,25.16
2424.2,666.0,25.29
2463.84,666.0,25.38
2469.74,666.0,25.53
2507.42,666.0,25.85
2516.23,666.0,26.69
2537.19,666.0,26.84
2543.39,666.0,27.36
2569.79,666.0,27.39
2575.45,666.0,27.4
2610.86,666.0,27.44
2654.01,666.0,28.05
2687.61,666.0,28.42
2754.16,666.0,28.74
2785.18,666.0,28.89
2792.74,666.0,28.93
2880.88,666.0,29.0
3581.43,662.0,29.0
4943.01,659.0,29.0
11988.52,658.0,29.0
12690.13,656.0,29.0
20899.23,642.0,29.0
20964.91,641.0,29.0
