Time,Objective,Best Bound
7.21,1e+100,0.0
80.62,929.0,0.0
252.25,870.0,0.0
307.73,844.0,0.0
307.78,840.0,0.0
307.86,831.0,0.0
307.94,820.0,0.0
308.05,801.0,0.0
365.49,690.0,0.0
365.55,689.0,0.0
365.66,673.0,0.0
365.77,650.0,0.0
365.83,646.0,0.0
365.89,640.0,0.0
365.95,639.0,0.0
735.98,548.0,0.0
736.09,525.0,0.0
736.17,520.0,0.0
736.23,516.0,0.0
736.4,509.0,0.0
762.89,505.0,0.0
1305.54,505.0,1.57
1326.12,505.0,2.08
1480.54,505.0,17.67
1541.18,505.0,23.0
6532.09,490.0,23.0
7302.81,489.0,23.0
12111.56,485.0,23.0
17499.69,484.0,23.0
172800.00,484.0,23.0
