Time,Objective,Best Bound
8.49,1e+100,0.0
54.55,1638.0,0.0
75.63,1440.0,0.0
116.01,1368.0,0.0
220.17,1194.0,0.0
255.76,1163.0,0.0
373.64,1102.0,0.0
434.64,1043.0,0.0
492.19,1000.0,0.0
492.29,993.0,0.0
492.44,973.0,0.0
492.53,964.0,0.0
492.62,960.0,0.0
668.59,941.0,0.0
668.73,917.0,0.0
668.87,834.0,0.0
669.08,781.0,0.0
1274.11,768.0,0.0
1274.32,720.0,0.0
1274.5,698.0,0.0
1801.05,695.0,0.0
1830.35,695.0,0.05
1896.22,683.0,1.01
1943.02,683.0,1.83
2047.16,680.0,2.05
2069.16,680.0,3.55
2141.69,680.0,5.66
2263.87,680.0,7.01
2283.91,680.0,7.22
2342.83,680.0,10.0
2437.39,680.0,12.27
2446.39,680.0,12.29
2498.91,680.0,12.85
2507.66,680.0,13.64
2571.58,680.0,21.41
2692.96,672.0,25.6
2709.92,667.0,25.6
2808.91,667.0,30.0
3254.78,666.0,30.0
5586.75,662.0,30.0
6749.08,656.0,30.0
9044.71,654.0,30.0
14724.07,651.0,30.0
120892.37,650.99,30.0
